"Date Made Public","Company","City","State","Type of breach","Type of organization","Total Records","Description of incident","Information Source","Source URL","Year of Breach","Latitude","Longitude"
"December 19, 2006","Velocita Wireless, Sprint Nextel","Woodbridge","New Jersey","PORT","BSR","255","A laptop from the human resources department was stolen during an office burglary on or around October 24.  It contained current and former employee names, dates of birth, Social Security numbers and salary information.  Affected individuals were contacted between December 13 and 15.","Dataloss DB","","2006","40.557604","-74.284591"
"December 13, 2006","Seton Health System","Long Island","New York","PORT","MED","14","The December 8 theft of a laptop may have exposed clinical and personal information.  The information included names, Social Security numbers, addresses, dates of birth, medical record information, telephone number, and insurance information.  The laptop was stolen from a Seton Home Health Care nurse's car.","Dataloss DB","","2006","40.714353","-74.005973"
"December 15, 2006","City University of New York","New York","New York","STAT","EDU","445","Two computers were stolen from the York Support Services office.  The computers contained databases including full names, Social security numbers and dates of birth.","Dataloss DB","","2006","40.714353","-74.005973"
"December 1, 2006","First Banks Inc","Louisville","Kentucky","PORT","BSF","0","A laptop was stolen from the locked office of an employee during a nighttime burglary on November 20.  Loan applications, financial statements and credit reports with client names, addresses and Social Security numbers were on the laptop.  At least two New York residents were affected, but the total number of affected clients nationwide was not revealed.","Dataloss DB","","2006","38.252665","-85.758456"
"December 21, 2006","City University of New York","New York","New York","DISC","EDU","96","Confidential data from the University server was accidentally made available through a Google search.  The error was discovered on October 17 and faculty, students and staff were affected.  The information included full names, Social Security numbers, dates of birth, addresses, email addresses and University library identification card numbers. The copy of the file was removed from Google on October 20.","Dataloss DB","","2006","40.714353","-74.005973"
"December 7, 2006","CIGNA HealthCare Corp","Pittsburgh","Pennsylvania","INSD","MED","0","A former employee used customer credit card information.","Dataloss DB","","2006","40.440625","-79.995886"
"December 9, 2006","Home Finance & Mortgage, Inc.","Cornelius","North Carolina","PHYS","BSF","146","The company dumped files containing 
            names, addresses, Social Security numbers, credit card numbers, and 
            bank account numbers of people who had applied for mortgage loans. 
            Home Finance and its owners have agreed to pay 
            the State of NC $3,000 for their violations.","Dataloss DB","","2006","35.486803","-80.860074"
"December 15, 2006","LexisNexis, Seisint","Boca Raton","Florida","INSD","BSO","618","Unauthorized individuals used the ID and password of a Seisint law enforcement customer to obtain consumers' Social Security numbers, driver's license numbers, names and addresses.  The breach was discovered on October 18 and affected individuals were contacted on December 5.","Dataloss DB","","2006","26.358689","-80.083098"
"December 8, 2006","Experian, BMA Credit Union","Mesquite","Texas","INSD","BSF","46","An unauthorized Experian client accessed consumer personal information.  The information included name, Social Security number and address.  At least 46 New York residents were affected, but the total number nationwide was not revealed.","Dataloss DB","","2006","32.766796","-96.599159"
"December 21, 2006","New York City Human Resources Administration","Brooklyn","New York","PORT","GOV","7,800","A hard drive with human resources information was discovered to be missing.  The hard drive may have had temporary and disability assistance applicant reports with names, Social Security numbers and dates of birth.","Dataloss DB","","2006","40.650000","-73.950000"
"December 7, 2006","Cornell University","Ithica","New York","PORT","EDU","210","A laptop was stolen from an employee.  Names and Social Security numbers were on the computer.","Dataloss DB","","2006","40.744797","-73.879766"
"August 29, 2006","Wells Fargo, Paymap Inc., First Horizon Home Loans, Western Union","Memphis","Tennessee","PORT","BSF","0","Computer discs with sensitive customer information were stolen from a Paymap facility in September of 2005.  People who were subscribers between 1999 and 2002 may have been affected.  The theft was not discovered until an unrelated mail fraud investigation was in process.  information included names, addresses, telephone numbers, Social Security numbers, loan account numbers, bank account information, copies of signatures and copies of voided or cleared personal checks.","Dataloss DB","","2006","35.149534","-90.048980"
"July 28, 2006","Merlin Information Services","Kalispell","Montana","HACK","BSO","3,957","The login information for a qualified customer was compromised.  This resulted in the possible exposure of customer names, addresses and Social Security numbers.","Dataloss DB","","2006","48.200531","-114.315102"
"October 2, 2006","Citigroup","Chicago","Illinois","PORT","BSF","11","An employee from a Pennsylvania branch reported a missing laptop after a flight.  It is believed that the laptop may have been stolen from the employee's luggage after the bags were checked-in for a flight from Chicago to Philadelphia sometime around August 26.  At least 11 New York residents and an unknown number of clients nationwide may have had their names, Social Security numbers, addresses and other information exposed.","Dataloss DB","","2006","41.878114","-87.629798"
"February 20, 2006","Capital Computer Associates, Spencerport School District","Albany","New York","DISC","BSF","17","Seventeen employees of Spencerport School District had their Social Security numbers and names posted on a website that could be viewed by any office staff at Capital Computer's client sites in New York State school districts and Boards of Cooperative Educational Services (BOCES).  The information was supposed to be fictitious and used to notify users of changes to the software they use to process accounting and human resource data. The posting occurred on February 14 and was removed at the end of the day on February 16.","Dataloss DB","","2006","42.652579","-73.756232"
"May 26, 2006","California State University Stanislaus","Turlock","California","DISC","EDU","1,294","The University was informed that a file containing sensitive information remained in the Google cache and could be accessed by those with technological expertise.  The file was first indexed in October of 2005.  The file was deleted form the server, but it remained in the Google files cache.  The file included names, addresses, Social Security numbers, and dates of birth of some current and former employees and their dependents.","Dataloss DB","","2006","37.494657","-120.846594"
"December 8, 2006","Segal Group of New York, via a Vermont state agency website","Montpelier","Vermont","DISC","BSO","1,100","Names and SSNs of several 
            hundred physicians, psychologists and other health care providers 
            were mistakenly posted online by Segal Group, a contractor hired by 
            the state to put its health management contract out for bid. The information 
            was posted from May 12 to June 19. It was discovered when a doctor 
            found her own SSN online.  A Vermont state agency used to call for bids on state contracts was involved.  UPDATE
            (1/14/07):

            SSNS of more than 1,100 doctors, psychothereapists and other
 
            health professionals were exposed.","Dataloss DB","","2006","44.260059","-72.575387"
"August 3, 2006","Franklin Templeton Investments","San Mateo","California","PORT","BSF","9","At least nine U.S. citizens were affected by a July 24 incident involving a stolen laptop.  The laptop contained information that was assembled for filing claims on behalf of clients in pending class actions.  Names, Social Security numbers, tax identification numbers and account numbers may have been exposed.","Dataloss DB","","2006","37.562992","-122.325525"
"June 18, 2006","ING U.S. Financial Services, Jackson Health System","Miami","Florida","PORT","BSF","13,000","Two ING laptops that 
              carried sensitive data affecting Jackson Health System hospital 
              workers were stolen in December 2005. The computers, belonging to 
              financial services provider ING, contained information gathered 
              during a voluntary life insurance enrollment drive in December and 
              included names, birth dates and Social Security numbers.","Dataloss DB","","2006","25.774266","-80.193659"
"December 14, 2006","Electronic Registry Systems ","Atlanta","Georgia","PORT","MED","63,000","On Nov. 23, 2006, two 
              computers (one desktop, one laptop) were stolen from Electronic 
              Registry Systems, a business contractor in suburban Springdale, 
              OH, that provides cancer patient registry data processing services. 
              It contained the personal information (name, date of birth, Social 
              Security number, address, medical record number, medical data and 
              treatment information) of cancer patients from hospitals in Pennsylvania, Tennessee, Ohio and Georgia, dating back to 1977 at some hospitals.
Hospitals include Emory Hospital, Emory Crawford Long
Hospital, Grady Memorial Hospital, as well as Geisinger Health System (PA) and
Williamson Medical Center (TN).              UPDATE(1/14/07): 
              The number of affected patients was increased from 25,000 to over 63,000.","Dataloss DB","","2006","33.748995","-84.387982"
"December 12, 2006","Aetna, Nationwide, WellPoint Group Health Plans, Humana Medicare, Mutual of Omaha Insurance Company, Anthem Blue Cross Blue Shield via Concentra Preferred Systems","Dayton","Ohio","PORT","MED","396,279","A lockbox holding personal 
            information of health insurance customers was stolen Oct. 26. Thieves 
            broke into an office building occupied by insurance company vendor, 
            Concentra Preferred Systems. The lockbox contained computer backup 
            tapes of medical claim data for Aetna and other Concentra health plan 
            clients. Exposed data includes member names, hospital codes, and either 
            SSNs or Aetna member ID numbers. SSNs of 750 medical professionals 
            were also exposed. Officials downplay the risk by stating that the 
            tapes cannot be used on a standard PC. UPDATE
            (12/23/06): The lockbox also contained tapes with personal information 
            of 42,000 NY employees insured by Group Health Insurance Inc.)  
            UPDATE(1/24/07): Personal 
            data of 28,279 Nationwide's Ohio customers were also compromised.  2/11/10 Total changes to 396,279 to reflect final total of records breached in all of the affected companies.","Dataloss DB","","2006","39.758948","-84.191607"
"December 15, 2006","North Bay Regional Center","Napa","California","STAT","NGO","3,000","Thieves took 30 computers and electronic devices from the office.  Personal information of clients may have been on some of the computers.  This included credit card information for some clients.","Dataloss DB","","2006","38.304722","-122.298889"
"December 5, 2006","Nassau Community College","Garden City","New York","PHYS","EDU","21,000","A printout is missing that 
            contains information about each of NCC's 21,000 students, including 
            names, SSNs, addresses, and phone numbers. It disappeared from a desk 
            in the Student Activities Office.","Dataloss DB","","2006","40.726768","-73.634295"
"January 25, 2006","Providence Home Services","Portland","Oregon","PORT","MED","365,000","Backup tapes, laptops 
            and disks containing Social Security numbers, clinical and demographic 
            information were stolen from the car of an employee. In a small number of cases, patient financial data was 
            stolen. UPDATE  
            (9/26/06)
            Providence Health System and the Oregon 
            Attorney General have filed a settlement agreement.  Providence 
            will provide affected patients with free credit monitoring, offer 
            credit restoration to patients who are victims of identity fraud, 
            and reimburse patients for direct losses that result from the data 
            breach.  The company must also enhance its security programs. 
            UPDATE  (7/15/08) Providence Health will pay $100,000 and adhere to a compliance plan 
            under the first ever Resolution Agreement negotiated by 
            CMS (Centers for Medicare and Medicaid Services of the U.S. Dept. 
            of Health and Human Services) under the HIPAA Privacy and Security 
            Standards.

            The Corrective 
            Action Plan requires Providence to revamp its security policies 
            to include physical protections for portable devices and off-site 
            transport and storage of backup media. Further, it must implement 
            technical safeguards, such as encryption and password protection. 
            And it must conduct random compliance audits and submit compliance 
            reports to HHS for the next three years.UPDATE (4/16/2012): The Oregon Supreme Court struck down a class-action suit against Providence Health Systems.  The Oregon Supreme Court claimed that there was no evidence that any of the 365,000 patients who were affected by the breach suffered any financial loss or other adverse consequences.","Dataloss DB","","2006","45.523452","-122.676207"
"May 22, 2006","U.S.  Department of Veterans Affairs","Washington","District Of Columbia","PORT","GOV","26,500,000","On May 3, data of all American 
            veterans who were discharged since 1975 including names, Social Security 
            numbers, dates of birth and in many cases phone numbers and addresses, 
            were stolen from a VA employee's home. Theft of the laptop and computer 
            storage device included data of 26.5 million veterans. The data did 
            not contain medical or financial information, but may have disability 
            numerical rankings.  UPDATE 
            (6/29/06): The stolen laptop computer and the external hard 
            drive were recovered.  UPDATE
            (7/14/06): FBI claims no data had been taken from stolen computer. 
             UPDATE(8/5/06): 
            Two teens were arrested in the theft of the laptop. UPDATE
            (8/25/06): In an Aug. 25 letter, Secretary Nicholson told veterans 
            of the decision to not offer them credit monitoring services. Rather 
            the VA has contracted with a company to conduct breach analysis to 
            monitor for patterns of misuse.  UPDATE
            (11/23/07): A federal judge questioned the Veterans Affairs Department's 
            computer security and ruled Friday that lawsuits can go forward over 
            the theft of computer equipment containing data on 26.5 million veterans. 
            The lawsuits have been filed as potential class-action cases representing 
            every veteran whose data was released. UPDATE
            (1/23/09): The Department of Veterans Affairs has agreed to pay $20 
            million to current and former military personnel to settle a class 
            action lawsuit. UPDATE
            (6/16/09): No less than $75 will be paid for any valid claim, up to 
            a cap of $1,500. If your expenses were higher than that, you might 
            want to opt out of the class-action portion so you can file for your 
            actual damages. In that case, you need to file a letter so it is received 
            by June 29, 2009. You have until Nov. 27, 2009, to mail your claim 
            form to VA Settlement Claims, P.O. Box 6727, Portland, OR 97228-9767. 
            Be sure to keep a copy of the claim form, along with your proof of 
            mailing. To download the claim form and to get more information, go 
            to www.veteransclass.com. 
            Read the FAQ and note the particulars on out-of-pocket expenses and 
            actual damages. You also can call (888) 288-9625.UDPATE (10/19/12): An investigation into the VA revealed that encryption software has only been installed on 16% of VA computers since the 2006 breach. Six million dollars has been spent on encryption software since the 2006 breach. The investigation began after a 2011 anonymous tip.","Dataloss DB","","2006","38.895112","-77.036366"
"December 22, 2006","Utah Valley State College","Orem","Utah","DISC","EDU","15,000","Social Security numbers and other personal information of students and faculty were accessible via Yahoo's search engine.  The information was removed from UVSC's servers.  Some Distance Education instructors and some students enrolled in UVSC courses between January 2002 and January 2005 were affected.","Dataloss DB","","2006","40.296898","-111.694648"
"October 19, 2006","Allina Hospitals and Clinics","Minneapolis","Minnesota","PORT","MED","17,000","A laptop stolen from a nurse's car on October 8 contains the names and SSNs of individuals in approximately 17,000 households participating in the Allina Hospitals and Clinics obstetric home-care program since June 2005.","","","2006","44.977753","-93.265011"
"December 20, 2007","Dormitory Authority of the State of New York","Manhattan","New York","PORT","NGO","800","Data tapes containing Social Security 
            numbers, phone numbers and addresses for up to 800 current and former 
            employees of the state Dormitory Authority are missing.","Dataloss DB","","2007","40.783435","-73.966250"
"December 18, 2007","Pennsylvania Department of Aging","Harrisburg","Pennsylvania","PORT","GOV","21,000","A state Department of Aging-owned 
            laptop computer containing personal information on senior citizens 
            was stolen from a Johnstown home. The information included names, 
            addresses, Social Security numbers and some medical information.","Dataloss DB","","2007","40.273700","-76.884418"
"December 17, 2007","West Penn Allegheny Health System","Pittsburgh","Pennsylvania","PORT","MED","42,000","The names, Social Security numbers, 
            phone numbers, addresses and patient care information of 42,000 patients 
            were all on a laptop computer stolen from a nurse's home. Only 
            home care and hospice patients could be impacted, not patients at 
            the hospitals.","Dataloss DB","","2007","40.440625","-79.995886"
"December 10, 2007","Cameron County","Brownsville","Texas","UNKN","GOV","0","An employee released an e-mail 
            with a list of all county officials and employees. It reportedly contained 
            names, Social Security numbers, and salaries.","Dataloss DB","","2007","25.901747","-97.497484"
"December 10, 2007","Sutter Lakeside Hospital  ","Lakeport","California","PORT","MED","45,000","A laptop computer containing personal              and medical information of approximately 45,000 former patients, employees              and physicians has been stolen from the residence of a contractor.","Dataloss DB","","2007","39.042951","-122.915829"
"December 7, 2007","Beacon Medical Services","Aurora","Colorado","DISC","MED","0","Detailed, personally identifiable 
            medical records of thousands of Colorado residents were viewable on 
            a publicly accessible Internet site for an uncertain period of time. 
            The data included details of patients' visits to emergency rooms -- 
            what ailments they complained of, diagnoses, treatments, and medical 
            histories, along with the patients' names, occupations, addresses, 
            phone numbers, insurance providers, and in some cases, Social Security 
            numbers. The company is trying to determine the exact number of patients 
            affected, but Beck says the number looks to be fewer than 5,000.","Dataloss DB","","2007","39.729432","-104.831920"
"December 10, 2007","Iowa Department of Natural Resources","Des Moines","Iowa","PORT","GOV","7,000","A contractor working for the DNR 
            revealed that a computer jump drive containing the names and Social 
            Security numbers for 7000 people is missing. The contractor believes 
            the jump drive fell off of his desk and into a garbage can.","Dataloss DB","","2007","41.600545","-93.609106"
"December 6, 2007","Oak Ridge National Laboratory","Oak Ridge","Tennessee","HACK","GOV","12,000","Hackers may have infiltrated a 
            non-classified database containing names, Social Security numbers 
            and birth dates of every lab visitor between 1990 and 2004. The assault 
            was in the form of phony e-mails containing attachments, which when 
            opened allowed hackers to penetrate the lab's computer security. 
            The lab has sent letters to about 12,000 
            potential victims. ","Dataloss DB","","2007","36.010356","-84.269645"
"December 5, 2007","Memorial Blood Centers","Duluth","Minnesota","PORT","MED","268,000","A laptop computer holding donor 
            information was stolen. About 268,000 donor records on this laptop 
            computer contain a donor name in combination with the donor's 
            Social Security number.","Dataloss DB","","2007","46.783273","-92.106579"
"December 5, 2007","Forrester Research","Cambridge","Massachusetts","PORT","BSO","0","Thieves stole a laptop from the 
            home of a Forrester Research employee, potentially exposing the names, 
            addresses and Social Security numbers of an undisclosed number of 
            current and former employees and directors.","Dataloss DB","","2007","42.375097","-71.105608"
"December 1, 2007","Battelle & Battelle LLC ","Oakwood","Ohio","PORT","BSO","600","A laptop was stolen from a Battelle & Battelle LLC employee's vehicle.  The laptop contained information on an audit of the Community Blood Center's 401K plan as well as information on the employees of Springfield-based Ohio Masonic Home.  The stolen laptop needs multiple levels of authentication in order to access the sensitive data, according to a representative of Battelle.  Masonic Home officials report 600 of its employees were affected.","Dataloss DB","","2007","39.983128","-81.559845"
"December 4, 2007","Indianapolis Power and Light","Indianapolis","Indiana","DISC","BSO","3,000","The private information of thousands 
            of customers was inadvertently posted online for up to four years. 
            Data included names, addresses and Social Security numbers.","Dataloss DB","","2007","39.767016","-86.156255"
"December 4, 2007","Duke University","Durham","North Carolina","HACK","EDU","1,400","Social Security numbers of about 
            1,400 prospective law school applicants may have been compromised 
            when a school Web site was accessed illegally.","Dataloss DB","","2007","35.994033","-78.898619"
"November 21, 2007","University of Florida","Gainesville","Florida","DISC","EDU","415","More than 400 former UF students 
              might have been put at risk for identity theft after their Social 
              Security numbers were posted on UF's Computing & Networking 
              Services Web site. A news release from the Liberty Coalition, a 
              group that works to preserve the privacy of individuals, said 14 
              files on the Web site contained sensitive information 
              of 534 former UF students, including 415 Social Security numbers.","Dataloss DB","","2007","29.651634","-82.324826"
"December 18, 2007","Brownsville School District","Brownsville","Pennsylvania","PHYS","EDU","0","Forms with employee personal information 
            littered the fence of a Brownsville school district warehouse. Information 
            on litter contained confidential letters with names, bank account 
            numbers, and Social Security numbers. The forms may be more than ten 
            years old, but they each contain information that's still valuable.","Media","","2007","40.023685","-79.883936"
"November 29, 2007","American Red Cross","Dallas ","Texas","PHYS","NGO","0","Six boxes were left unattended 
            in a public hallway for more than six hours. The files contained personal 
            information of current and former employees and were placed there 
            by human resources. Names, addresses and social security numbers could 
            have easily been stolen. The files also contained embarrassing information, 
            including disciplinary actions, results from a drug test, a sexual 
            harassment case even someone's criminal record from another state.","Media","","2007","32.802955","-96.769923"
"November 16, 2007","A.J. Falciani Realty Company","Vineland","New Jersey","STAT","BSO","0","Computers containing the personal 
            information of between 500 to 1,000 clients of A.J. Falciani Realty 
            Company were taken in a burglary. Many of the stolen computers stored 
            the names, addresses, Social Security numbers, dates of birth, telephone 
            numbers and other information on the company's clients.","Dataloss DB","","2007","39.486227","-75.025731"
"November 16, 2007","U.S. Department of Veteran Affairs","Washington","District Of Columbia","INSD","GOV","185,000","Investigation from a man's home 
            uncovered a computer that held about 1.8 million Social Security numbers 
            from the U.S. Department of Veteran Affairs, where he had been employed 
            as an auditor. Veterans Affairs' officials have said only 185,000 
            numbers are at risk because many were repeated in the file.","Dataloss DB","","2007","38.895112","-77.036366"
"November 7, 2007","Carolinas Medical Center, NorthEast","Concord","North Carolina","PORT","MED","28,000","A paramedic left a computer on 
            the back bumper of an ambulance and then drove away. The laptop contains 
            names, addresses, phone numbers and Social Security numbers of approximately 
            28,000 people who have been cared for by the Cabarrus County EMS over 
            the last four years.","Dataloss DB","","2007","35.408752","-80.579511"
"November 6, 2007","Butte Community Bank","Chico","California","PORT","BSF","0","A laptop with customers' personal 
            information including names, addresses, Social Security numbers and 
            bank account numbers was stolen from Butte Community Bank.","Dataloss DB","","2007","39.728494","-121.837478"
"November 2, 2007","Montana State University","Bozeman","Montana","PORT","EDU","216","MSU learned that an employee's 
            laptop computer had been stolen somewhere off-campus. It contained 
            the Social Security numbers of 216 students and employees who lived 
            in on-campus housing from 1998 to 2007.","Dataloss DB","","2007","45.683460","-111.050499"
"November 2, 2007","Montana State University","Bozeman","Montana","DISC","EDU","42","An independent security watchdog 
            group informed MSU that an Excel spreadsheet with the names and Social 
            Security numbers of 42 people, most of them hired in the summer of 
            2006, was publicly accessible on MSU's Web site.","Dataloss DB","","2007","45.683460","-111.050499"
"November 2, 2007","Montana State University","Bozeman","Montana","DISC","EDU","13","While investigating that breach, 
            MSU data-security staff found another Excel spreadsheet accidentally 
            posted on the MSU Web site since 2002. It contained the Social Security 
            numbers of 13 people who got travel vouchers from the computer science 
            department in the College of Engineering.","Dataloss DB","","2007","45.683460","-111.050499"
"October 30, 2007","University of Nevada, Reno","Reno","Nevada","PORT","EDU","16,000","A University of Nevada, Reno administrative employee has lost a flash drive that contained the 
            names and Social Security numbers of 16,000 current and former students.","Dataloss DB","","2007","39.529633","-119.813803"
"October 30, 2007","Hartford Financial Services Group","Hartford","Connecticut","PORT","BSF","230,000","Three backup tapes that contained 
            personal information of 230,000 customers, including 9,200 Ohioans, 
            mainly of the company's property lines, were misplaced.","Dataloss DB","","2007","41.763711","-72.685093"
"October 30, 2007","Pathology Group","Memphis","Tennessee","STAT","MED","75,000","Someone broke into a locked office 
            building, several computers with flat screen monitors were stolen. 
            One of those computers had patient information on about 75,000 people. 
            This information included names, addresses, Social Security number, 
            even medical information","Dataloss DB","","2007","35.149534","-90.048980"
"October 29, 2007","United States Postal Service","Oahu","Hawaii","PORT","GOV","3,000","Employees' names, Social Security 
            numbers and other information were on a laptop computer that was stolen.","Dataloss DB","","2007","21.438912","-158.000057"
"October 29, 2007","ABC Phones, ACC Communications","Greenville","North Carolina","PHYS","BSO","0","Two men found a box in a dumpster. 
            The cell phone business recently moved and threw away documents that 
            contained personal information from customers. The information contained 
            driver's license numbers, Social Security number, bank accophonesunt numbers, 
            credit card numbers, work and home addresses.","Media","","2007","35.612661","-77.366354"
"October 28, 2007","Art.com","Lockbourne","Ohio","HACK","BSR","0","Cyberspace criminals gained systems 
            entry despite multiple security layers and accessed some 
            credit card transactions. The retailer of posters, prints and framed 
            art alerted customers that hackers had gotten into the website to 
            access credit card accounts.","Dataloss DB","","2007","39.809230","-82.972404"
"October 24, 2007","Not Your Average Joe's","Dartmouth","Massachusetts","HACK","BSO","0","Massachusetts restaurants were 
            targeted by an individual or individuals seeking to illegally obtain 
            credit card data. The data that was compromised included credit card 
            numbers, expiration date and name associated with the card.","Dataloss DB","","2007","41.592337","-70.978456"
"October 25, 2007","University of Akron","Akron","Ohio","PORT","EDU","1,200","A microfilm containing the personal 
            information of alumni were missing. Names, previous addresses, phone 
            numbers, birth dates and Social Security numbers was on the missing 
            microfilm.","Dataloss DB","","2007","41.081445","-81.519005"
"October 23, 2007","Blockbuster","Sarasota","Florida","PHYS","BSR","0","A Sarasota resident was fishing 
            in a trash container for boxes when he found 400 documents. These 
            documents included membership forms and employment applications with 
            names, addresses, credit card numbers and Social Security numbers.","Dataloss DB","","2007","27.336435","-82.530653"
"October 23, 2007","West Virginia Public Employees Insurance Agency","Charleston","West Virginia","PORT","MED","200,000","West Virginia officials are alerting 
            200,000 past and current members of three health insurance programs 
            that a computer tape containing full names, addresses, phone numbers, 
            Social Security numbers and marital status was lost last week while 
            being shipped via United Parcel Service.","Dataloss DB","","2007","38.349820","-81.632623"
"October 23, 2007","Dixie State College","St. George","Utah","DISC","EDU","11,000","An unauthorized person reportedly 
            gained access to a computer system and confidential files, including 
            Social Security numbers, birth date information and addresses for 
            some 11,000 alumni and current DSC employees who graduated or worked 
            at DSC from 1986 to 2005.","Dataloss DB","","2007","37.104148","-113.584123"
"October 23, 2007","Bates College","Lewiston","Maine","DISC","EDU","500","Two publicly accessible documents 
            that contained the records of nearly 500 recipients of the federal 
            Perkins Loan, along with each recipient's address, date of birth, 
            Social Security number, legal name and loan amount, were accessible 
            on the Bates network.","Dataloss DB","","2007","44.100351","-70.214776"
"October 18, 2007","University of Cincinnati","Cincinnati","Ohio","PORT","EDU","7,000","The personal information of thousands 
            of University of Cincinnati students and graduates has been stolen. 
            A flash drive was taken from a UC employee last month. It contained 
            the Social Security numbers and other data for more than 7,000 people.","Dataloss DB","","2007","39.148010","-84.477020"
"October 17, 2007","Louisiana Office of Student Financial Assistance, Iron Mountain","Baton Rouge","Louisiana","PORT","EDU","0","Sensitive data for virtually all 
            Louisiana college applicants and their parents over the past nine 
            years were in a case lost last month during a move. The data included 
            Social Security numbers for applicants and their parents. The bank 
            account information for START account holders also was involved.","Dataloss DB","","2007","30.450746","-91.154551"
"October 16, 2007","Administaff Inc.","Houston","Texas","PORT","BSO","159,000","Current and former workers personal 
            data may be compromised because of a stolen laptop. The data wasn't 
            encrypted when it was stored on the portable computer, which is password-protected. 
            Data stored on the laptop included names, addresses and Social Security 
            numbers for most employees paid by Administaff in 2006.","Dataloss DB","","2007","29.763284","-95.363272"
"October 17, 2007","Home Depot","Boston","Massachusetts","PORT","BSR","10,000","A laptop computer containing about 
            10,000 employees' personal data was stolen from a regional manager's 
            car. The computer, which was password protected, didn't contain any 
            customer information. The laptop contained names, home addresses and 
            Social Security numbers of certain Home Depot employees.","Dataloss DB","","2007","42.358431","-71.059773"
"October 10, 2007","Wheels Inc., Pfizer","Des Plaines","Illinois","DISC","BSO","1,823","The spouses and domestic partners              of about 1,800 Pfizer employees, including 23 from Connecticut, learned              late last month about a data breach at Wheels Inc., which provides              cars to the company, mostly for use by its sales force. The breach              at Wheels, first reported by the Pharmalot Web site, released onto              the Internet names, addresses, birth dates and driver's license numbers,              but not Social Security numbers, according to the company.","Dataloss DB","","2007","42.033362","-87.883399"
"October 15, 2007","Transportation Security Administration","Arlington","Virginia","PORT","GOV","3,930","Two laptop computers with detailed 
            personal information about commercial drivers across the country who 
            transport hazardous materials are missing and considered stolen. The 
            laptops contained the names, addresses, birthdays, commercial driver's 
            license numbers and, in some cases, Social Security numbers of 3,930 
            people.","Dataloss DB","","2007","38.890390","-77.084145"
"October 12, 2007","King County Transportation Department","Seattle","Washington","PORT","GOV","1,400","A laptop computer containing 
            personal information about current and former employees has been stolen. 
            Workers' names, addresses and Social Security numbers were on the 
            password-protected laptop, which was stolen during a Sept. 28 home 
            burglary. The information was not encrypted.","Dataloss DB","","2007","47.606210","-122.332071"
"October 10, 2007","Commerce Bank","Wichita","Kansas","HACK","BSF","20","A hacker gained access to a database 
            with about 3,000 customer records and accessed data belonging to 20 
            of them. The bank is contacting those who may have been affected. 
            The hacking was quickly detected and stopped, according to Commerce 
            Bank, which then notified law enforcement.","Dataloss DB","","2007","37.692236","-97.337545"
"October 9, 2007","Pembroke Schools       ","Pembroke","Massachusetts","DISC","EDU","0","Personal information on anyone 
            who worked or volunteered for the Pembroke schools in the last four 
            years was accessible via the Internet because of a weakness in the 
            district's computer system. The information included names, 
            birth dates and Social Security numbers.","Dataloss DB","","2007","42.071491","-70.809207"
"October 8, 2007","University of Iowa","Iowa City","Iowa","PORT","EDU","184","A laptop computer was stolen from 
            a former teaching assistant. The theft of the computer, which occurred 
            last month in a break-in of the instructor's home, contained class 
            records such as attendance, test scores, and grades of students who 
            took his philosophy courses at the UI between 2002 and 2006. Social 
            Security numbers were also present in 100 of the records.","Dataloss DB","","2007","41.661128","-91.530168"
"October 8, 2007","Carnegie Mellon University","Pittsburgh","Pennsylvania","PORT","EDU","0","Two laptops were stolen from the 
            office of a computer science professor. Both of the computers were 
            believed to have contained significant personal identifying data, 
            such as Social Security numbers.","Dataloss DB","","2007","40.440625","-79.995886"
"October 4, 2007","Massachusetts Division of Professional Licensure","Boston","Massachusetts","DISC","GOV","450,000","Social Security numbers of about 
            450,000 licensed professionals were inadvertently released. The information 
            was mailed last month to agencies that submitted a public records 
            request for the names and addresses of professionals licensed by the 
            division. The division mailed 28 computer disks to 23 agencies that 
            use the information as a marketing or promotional tool. The 
            disks would normally contain only the names and addresses of individuals 
            licensed through the Division of Professional Licensure and the Division 
            of Health Professions Licensure. However, the disks also included 
            Social Security numbers.","Dataloss DB","","2007","42.358431","-71.059773"
"October 2, 2007","The Nature Conservancy","Arlington","Virginia","HACK","NGO","14,000","A hacker illegally gained access 
            to a computer of The Nature Conservancy containing personal information 
            on current and former employees and their dependents. The stolen information 
            included the names, home addresses, Social Security numbers and birth 
            dates. It also included direct deposit bank account numbers for employees 
            who were on the payroll between 2000 and 2004, as well as the Social 
            Security numbers of those employees' dependents. When employees 
            accessed a particular Web site, the site planted a program on the 
            employees' computers that copied the contents of the hard drives 
            and sent the information to the hacker.","Dataloss DB","","2007","38.890390","-77.084145"
"September 24, 2007","Utah Department of Workforce Services","American Fork","Utah","PORT","GOV","2,000","A laptop computer containing a 
            spreadsheet with the the Social Security numbers and other personal 
            information of about 2,000 people was reported stolen.","Dataloss DB","","2007","40.376895","-111.795765"
"October 8, 2007","Semtech","Camarillo","California","PORT","BSO","0","A laptop computer and other personal 
            belongings were stolen from one of Semtech's vendors. The computer 
            was not stolen from a Semtech facility, but may have contained computerized 
            data relating to Semtech employees. Semtech declined to provide further 
            details of the incident, such as what personal employee data may have 
            been put at risk, when the theft happened or how long it took the 
            company to inform its workers of the potential breach.","Dataloss DB","","2007","34.216394","-119.037602"
